分类,公司名称,股票代码,报告期,公告日期,营业收入(亿元),净利润(亿元),存货(亿元),合同负债(亿元),预付款项(亿元)
GPU,寒武纪,688256.SH,20251231,20260313,64.97,20.59,49.44,—,7.45
GPU,寒武纪,688256.SH,20260331,,—,—,—,—,—
昇腾链,伟测科技,688372.SH,20251231,20260422,15.75,3.03,0.19,—,0.03
昇腾链,伟测科技,688372.SH,20260331,,—,—,—,—,—
昇腾链,华丰科技,688629.SH,20251231,20260415,25.28,3.59,5.29,—,0.02
昇腾链,华丰科技,688629.SH,20260331,,—,—,—,—,—
昇腾链,强瑞技术,301128.SZ,20251231,20260416,18.19,1.42,3.71,—,0.25
昇腾链,强瑞技术,301128.SZ,20260331,20260425,5.16,0.24,5.26,—,1.34
昇腾链,意华股份,002897.SZ,20251231,,—,—,—,—,—
昇腾链,意华股份,002897.SZ,20260331,,—,—,—,—,—
昇腾链,泰嘉股份,002843.SZ,20251231,20260425,15.28,-0.37,2.61,—,0.07
昇腾链,泰嘉股份,002843.SZ,20260331,20260425,4.13,0.24,2.89,—,0.35
