分类,公司名称,股票代码,报告期,公告日期,营业收入,净利润,存货,预付款项,预收款项,递延收益,营业收入(亿元),净利润(亿元),存货(亿元),预付款项(亿元),预收款项(亿元),递延收益(亿元)
GPU,寒武纪,688256.SH,20241231,20250419,1174464377.35,-452338791.01,1773974363.76,774376692.81,,,11.744643773499998,-4.5233879101,17.7397436376,7.7437669280999994,,
GPU,寒武纪,688256.SH,20250331,20250419,1111398926.8,355465241.04,2755181281.41,973330022.8,,,11.113989268,3.5546524104,27.5518128141,9.733300228,,
GPU,寒武纪,688256.SH,20250630,20250827,2880643471.09,1038082568.57,2690128526.85,827839410.81,,,28.806434710900003,10.3808256857,26.9012852685,8.278394108099999,,
GPU,寒武纪,688256.SH,20250930,20251018,4607424363.66,1604645744.11,3728951524.47,689593315.53,,,46.074243636599995,16.0464574411,37.2895152447,6.8959331553,,
GPU,寒武纪,688256.SH,20251231,20260313,6497196198.68,2059228538.67,4943532510.26,744539708.47,,,64.9719619868,20.592285386700002,49.435325102600004,7.445397084700001,,
GPU,寒武纪,688256.SH,20260331,,,,,,,,,,,,,
昇腾链,伟测科技,688372.SH,20241231,20250429,1076869868.17,128228784.44,10498917.06,2103348.52,,,10.7686986817,1.2822878443999999,0.1049891706,0.0210334852,,
昇腾链,伟测科技,688372.SH,20250331,20250429,285217551.52,25918206.33,7366391.15,4300573.2,,,2.8521755152,0.2591820633,0.0736639115,0.043005732000000005,,
昇腾链,伟测科技,688372.SH,20250630,20250821,634252628.82,101078388.85,7200522.76,5701903.3,,,6.3425262882,1.0107838885,0.0720052276,0.057019033,,
昇腾链,伟测科技,688372.SH,20250930,20251027,1082569285.28,202431849.12,11560658.46,10756673.55,,,10.8256928528,2.0243184912,0.1156065846,0.10756673550000001,,
昇腾链,伟测科技,688372.SH,20251231,20260422,1574642416.39,303198635.91,18706827.27,3324816.8,,,15.7464241639,3.0319863591000003,0.18706827269999998,0.033248168,,
昇腾链,伟测科技,688372.SH,20260331,,,,,,,,,,,,,
昇腾链,强瑞技术,301128.SZ,20241231,20250422,1126529989.82,97547736.74,332356015.36,39973944.07,,,11.265299898199999,0.9754773673999999,3.3235601536000003,0.3997394407,,
昇腾链,强瑞技术,301128.SZ,20250331,20250422,316672927.75,11961082.17,382029045.57,164985987.55,,,3.1667292775,0.1196108217,3.8202904557,1.6498598755,,
昇腾链,强瑞技术,301128.SZ,20250630,20250826,839504163.93,54906874.96,491892501.61,109305834.12,,,8.395041639299999,0.5490687496,4.9189250161,1.0930583412000001,,
昇腾链,强瑞技术,301128.SZ,20250930,20251030,1371549095.51,115923884.27,412245230.75,102706182.69,,,13.7154909551,1.1592388427,4.1224523075,1.0270618269,,
昇腾链,强瑞技术,301128.SZ,20251231,20260416,1818941785.65,141650740.75,371361512.65,24545793.6,,,18.1894178565,1.4165074075,3.7136151264999997,0.24545793600000002,,
昇腾链,强瑞技术,301128.SZ,20260331,20260425,515938891.9,23677322.69,525725497.5,134088403.81,460322.41,,5.1593889189999995,0.23677322690000002,5.257254975,1.3408840381,0.0046032241,
昇腾链,华丰科技,688629.SH,20241231,20250429,1091896036.87,-17750544.81,321592096.06,2647455.06,,,10.918960368699999,-0.1775054481,3.2159209606,0.0264745506,,
昇腾链,华丰科技,688629.SH,20250331,20250429,405525885.18,31811028.66,362400156.77,5606934.38,,,4.0552588518,0.3181102866,3.6240015676999997,0.0560693438,,
昇腾链,华丰科技,688629.SH,20250630,20250826,1104889030.65,150699833.59,416536977.98,2365052.91,,,11.0488903065,1.5069983359,4.1653697798,0.0236505291,,
昇腾链,华丰科技,688629.SH,20250930,20251028,1659174540.1,223077729.86,509234965.17,9628625.83,,,16.591745401,2.2307772986,5.0923496517,0.0962862583,,
昇腾链,华丰科技,688629.SH,20251231,20260415,2527729770.66,358571551.61,528729341.85,2348650.37,,,25.2772977066,3.5857155161,5.2872934185,0.0234865037,,
昇腾链,华丰科技,688629.SH,20260331,,,,,,,,,,,,,
昇腾链,泰嘉股份,002843.SZ,20241231,20250426,1730984275.38,50419318.37,268494869.9,10401758.76,,,17.3098427538,0.5041931837,2.6849486989999996,0.1040175876,,
昇腾链,泰嘉股份,002843.SZ,20250331,20250426,355137244.32,14969500.86,251013892.3,8671520.61,,,3.5513724432,0.14969500859999998,2.510138923,0.0867152061,,
昇腾链,泰嘉股份,002843.SZ,20250630,20250805,758704902.11,40630576.49,219936561.83,6832822.28,,,7.5870490211,0.40630576490000003,2.1993656183000003,0.0683282228,,
昇腾链,泰嘉股份,002843.SZ,20250930,20251030,1144029566.5,57894944.07,245534580.07,25310134.21,,,11.440295665,0.5789494407,2.4553458007,0.2531013421,,
昇腾链,泰嘉股份,002843.SZ,20251231,20260425,1527755936.06,-37252798.06,260854027.2,6984458.86,,,15.2775593606,-0.37252798060000003,2.608540272,0.06984458860000001,,
