公司名称,股票代码,报告期,营业收入(元),净利润(元),公告日期,存货(元),合同负债(元),预付款项(元),分类,营业收入(亿元),净利润(亿元),存货(亿元),合同负债(亿元),预付款项(亿元)
寒武纪,688256.SH,20251231,6497196198.68,2059228538.67,20260313,4943532510.26,,744539708.47,GPU,64.9719619868,20.592285386700002,49.435325102600004,,7.445397084700001
寒武纪,688256.SH,20260331,,,,,,,GPU,,,,,
伟测科技,688372.SH,20251231,1574642416.39,303198635.91,20260422,18706827.27,,3324816.8,昇腾链,15.7464241639,3.0319863591000003,0.18706827269999998,,0.033248168
伟测科技,688372.SH,20260331,,,,,,,昇腾链,,,,,
华丰科技,688629.SH,20251231,2527729770.66,358571551.61,20260415,528729341.85,,2348650.37,昇腾链,25.2772977066,3.5857155161,5.2872934185,,0.0234865037
华丰科技,688629.SH,20260331,,,,,,,昇腾链,,,,,
强瑞技术,301128.SZ,20251231,1818941785.65,141650740.75,20260416,371361512.65,,24545793.6,昇腾链,18.1894178565,1.4165074075,3.7136151264999997,,0.24545793600000002
强瑞技术,301128.SZ,20260331,515938891.9,23677322.69,20260425,525725497.5,,134088403.81,昇腾链,5.1593889189999995,0.23677322690000002,5.257254975,,1.3408840381
意华股份,002897.SZ,20251231,,,,,,,昇腾链,,,,,
意华股份,002897.SZ,20260331,,,,,,,昇腾链,,,,,
泰嘉股份,002843.SZ,20251231,1527755936.06,-37252798.06,20260425,260854027.2,,6984458.86,昇腾链,15.2775593606,-0.37252798060000003,2.608540272,,0.06984458860000001
泰嘉股份,002843.SZ,20260331,412536122.55,24463870.77,20260425,288943314.32,,35088085.34,昇腾链,4.1253612255,0.24463870769999999,2.8894331431999998,,0.3508808534
