分类,公司名称,股票代码,报告期,公告日期,营业收入,净利润,存货,预付款项,预收款项,递延收益,营业收入(亿元),净利润(亿元),存货(亿元),预付款项(亿元),预收款项(亿元),递延收益(亿元)
服务器ODM,浪潮信息,000977.SZ,20241231,20250329,114767366841.55,2291764648.21,40633184763.14,1527031187.91,,,1147.6736684155,22.9176464821,406.33184763139997,15.270311879100001,,
服务器ODM,浪潮信息,000977.SZ,20250331,20250430,46858373514.91,462663827.52,45881925148.14,2066931961.88,,,468.58373514910005,4.6266382751999995,458.8192514814,20.6693196188,,
服务器ODM,浪潮信息,000977.SZ,20250630,20250827,80192433185.82,798644865.25,59522192657.55,2548296791.19,,,801.9243318582,7.9864486525,595.2219265755,25.4829679119,,
服务器ODM,浪潮信息,000977.SZ,20250930,20251031,120669018861.99,1482046758.25,57654409507.62,2588192994.67,,,1206.6901886199,14.8204675825,576.5440950762,25.8819299467,,
服务器ODM,浪潮信息,000977.SZ,20251231,20260411,164781997658.23,2412866308.76,46507849654.21,3018323071.1,,,1647.8199765823001,24.128663087600003,465.07849654209997,30.183230711,,
服务器ODM,浪潮信息,000977.SZ,20260331,,,,,,,,,,,,,
服务器ODM,紫光股份,000938.SZ,20241231,20250429,79024078451.16,1572434477.25,36846684521.56,1682670300.19,1145542.44,,790.2407845116,15.7243447725,368.46684521559996,16.8267030019,0.011455424399999999,
服务器ODM,紫光股份,000938.SZ,20250331,20250429,20789771379.75,348545980.85,43699139490.33,1058194343.15,2250137.9,,207.8977137975,3.4854598085000004,436.99139490330003,10.5819434315,0.022501379,
服务器ODM,紫光股份,000938.SZ,20250630,20250830,47424779079.45,1040890248.51,43841514636.42,1738371618.25,1268222.8,,474.24779079449996,10.4089024851,438.4151463642,17.3837161825,0.012682228,
服务器ODM,紫光股份,000938.SZ,20250930,20251031,77321505402.98,1403853060.58,39584119117.73,1849522884.61,1545592.34,,773.2150540298,14.0385306058,395.84119117730006,18.495228846099998,0.0154559234,
服务器ODM,紫光股份,000938.SZ,20251231,20260415,96748339344.03,1685521754.82,43568469509.65,2418306779.15,1452235.92,,967.4833934403,16.8552175482,435.68469509650004,24.1830677915,0.0145223592,
服务器ODM,紫光股份,000938.SZ,20260331,,,,,,,,,,,,,
服务器ODM,华勤技术,603296.SH,20241231,20250424,109877987191.16,2926223274.5,11476052553.99,122441127.86,,,1098.7798719116001,29.262232745,114.7605255399,1.2244112786,,
服务器ODM,华勤技术,603296.SH,20250331,20250424,34997696296.08,841991186.77,12077505341.06,147511071.56,,,349.9769629608,8.4199118677,120.7750534106,1.4751107156,,
服务器ODM,华勤技术,603296.SH,20250630,20250828,83939258404.31,1888969589.7,14257597620.14,246908187.34,,,839.3925840431,18.889695897,142.57597620139998,2.4690818734,,
服务器ODM,华勤技术,603296.SH,20250930,20251028,128881887357.29,3098562794.67,17140450870.64,214132787.94,,,1288.8188735729,30.9856279467,171.40450870639998,2.1413278794,,
服务器ODM,华勤技术,603296.SH,20251231,20260324,171436926673.4,4054292460.55,14623927718.43,154838057.77,,,1714.369266734,40.542924605500005,146.2392771843,1.5483805777000001,,
服务器ODM,华勤技术,603296.SH,20260331,,,,,,,,,,,,,
