公司名称,股票代码,所属行业,收入同比增速(%),利润同比增速(%),营业收入(亿元),归母净利润(亿元),公告日期
欧科亿,688308.SH,机械基件,113.5,2560.7,6.44,2.04,20260424
海天瑞声,688787.SH,软件服务,38.6,2161.1,0.97,0.08,20260424
路德科技,688156.SH,饲料,74.6,780.5,1.1,0.11,20260424
普源精电,688337.SH,电器仪表,38.0,512.0,2.32,0.23,20260421
诺诚健华,688428.SH,生物制药,38.7,488.9,5.29,1.06,20260424
昊志机电,300503.SZ,机械基件,72.9,483.5,4.96,0.91,20260421
金山办公,688111.SH,软件服务,24.0,445.0,16.13,21.95,20260424
瑞晟智能,688215.SH,专用机械,67.3,345.6,1.17,0.09,20260425
星球石墨,688633.SH,专用机械,94.2,336.3,2.48,0.73,20260424
腾远钴业,301219.SZ,小金属,75.1,330.1,25.59,5.31,20260421
音飞储存,603066.SH,仓储物流,38.6,283.5,3.05,1.25,20260424
盛屯矿业,600711.SH,小金属,65.1,250.4,93.54,10.2,20260421
力源信息,300184.SZ,元器件,52.0,240.6,28.35,1.37,20260420
舒华体育,605299.SH,文教休闲,28.8,212.8,3.49,0.24,20260425
厦门钨业,600549.SH,小金属,87.9,183.1,157.43,11.07,20260424
大族数控,301200.SZ,专用机械,103.7,176.5,19.55,3.23,20260421
阿科力,603722.SH,化工原料,40.1,169.3,1.48,-0.13,20260425
福蓉科技,603327.SH,元器件,35.8,134.1,7.62,0.48,20260425
常青科技,603125.SH,化工原料,57.9,129.8,3.89,0.81,20260425
凯立新材,688269.SH,化工原料,20.6,120.8,7.55,0.48,20260424
洽洽食品,002557.SZ,食品,41.5,117.8,22.22,1.68,20260421
财通证券,601108.SH,证券,54.4,113.0,16.51,6.17,20260425
骄成超声,688392.SH,专用机械,34.3,112.8,1.98,0.5,20260425
松霖科技,603992.SH,家居用品,45.7,109.9,8.19,0.95,20260424
联明股份,603006.SH,汽车配件,36.7,109.0,2.33,0.22,20260424
亨通光电,600487.SH,通信设备,34.1,98.5,177.91,11.05,20260425
吉比特,603444.SH,互联网,62.7,82.7,18.47,5.18,20260424
科达制造,600499.SH,专用机械,25.5,69.1,47.27,5.87,20260424
元琛科技,688659.SH,环境保护,45.2,65.3,1.87,0.04,20260425
明泰铝业,601677.SH,铝,20.2,59.7,97.67,7.02,20260421
宝丰能源,600989.SH,化工原料,22.9,50.2,132.37,36.61,20260424
电气风电,688660.SH,电气设备,66.9,44.1,12.85,-2.7,20260421
国芯科技,688262.SH,半导体,79.5,40.0,1.57,-0.49,20260424
康华生物,300841.SZ,生物制药,25.0,32.1,1.72,0.27,20260421
优利德,688628.SH,电器仪表,27.0,31.7,3.95,0.73,20260425
应流股份,603308.SH,机械基件,34.1,30.6,8.89,1.2,20260424
新光光电,688011.SH,元器件,358.2,28.5,0.36,-0.15,20260424
养元饮品,603156.SH,软饮料,37.5,25.8,25.57,8.08,20260425
奕瑞科技,688301.SH,医疗保健,42.5,24.9,6.86,1.79,20260424
万华化学,600309.SH,化工原料,25.5,20.6,540.52,37.18,20260421
