日期,上涨,涨停,下跌,跌停,平盘,活跃度,成交额,融资净买入,全市场换手率
2026/05/15,1486,71.0,3932,46.0,99.0,,3134384000.0,7995515163.0,3.1584
2026/5/14,1047,82.0,4387,48.0,81.0,19.41%,3388086341.0,,3.1434
2026/5/13,3215,147.0,2134,17.0,167.0,,3264212322.0,21939951590.0,2.9745
2026/5/12,1379,94.0,4048,34.0,88.0,,3269736243.0,15880725587.0,3.0094
2026/5/11,3121,136.0,2239,30.0,155.0,,3565452832.0,28937700528.0,3.2688
2026/5/8,3637,126.0,1728,33.0,148.0,,3075719586.0,14916375170.0,2.8565
2026/5/7,3520,128.0,1832,55.0,162.0,,3168269724.0,28735815496.0,2.9433
2026/5/6,3889,126.0,1482,64.0,142.0,,3246596328.0,40259316658.0,3.0407
2026/4/30,2878,98.0,2461,55.0,173.0,,2759205598.0,-17742099281.0,2.6298
2026/4/29,3973,121.0,1403,42.0,135.0,,2608873893.0,2600296157.0,2.4868
2026/4/28,1698,77.0,3682,54.0,130.0,31.94%,2550473217.0,-930123674.0,2.4553
2026/4/27,3284,85.0,2105,54.0,121.0,61.19%,2604807456.0,14450439247.0,2.494
2026/4/24,2036,68.0,3352,40.0,123.0,38.34%,2657622713.0,-12346003838.0,2.5519
2026/4/23,1330,59.0,4078,31.0,100.0,25.08%,2823315533.0,2713042311.0,2.7002
2026/4/21,1949,65.0,3432,19.0,128.0,36.80%,2426646682.0,-1832683182.0,2.3227
2026/4/20,3424,93.0,1898,17.0,186.0,61.49%,2606522778.0,4544403763.0,2.4963
2026/4/15,1841,68.0,3541,15.0,120.0,32.76%,2429477820.0,8958584688.0,2.3714
2026/4/14,3723,73.0,1594,11.0,185.0,67.67%,2396798588.0,15119970149.0,2.3332
2026/4/13,2378,86.0,2960,10.0,164.0,44.59%,2163064887.0,14837448123.0,2.1297
2026/4/10,3977,78.0,1397,13.0,129.0,71.33%,2337611174.0,4049988072.0,2.3088
2026/4/9,1140,64.0,4299,14.0,60.0,21.46%,2147341439.0,6210248449.0,2.1426
2026/4/8,5174,135.0,301,12.0,25.0,93.88%,2450644989.0,14871063547.0,2.4291
2026/4/7,3977,101.0,1426,18.0,94.0,73.24%,1623581024.0,2529383702.0,1.6631
2026/4/3,716,39.0,4746,46.0,36.0,13.44%,1668913112.0,-18623345947.0,1.7177
2026/4/2,1052,32.0,4378,20.0,67.0,17.21%,1857789952.0,-12268208134.0,1.8891
2026/4/1,4495,66.0,887,15.0,115.0,81.38%,2024837698.0,-730901537.0,2.0375
2026/3/31,1011,59.0,4378,19.0,107.0,17.35%,2005905367.0,-9549258299.0,2.0494
2026/3/30,2868,77.0,2464,20.0,162.0,54.04%,1927548105.0,6497924939.0,1.9472
2026/3/27,4337,94.0,1073,5.0,84.0,80.05%,1863792358.0,-9216749426.0,1.8853
2026/3/26,916,52.0,4493,14.0,84.0,16.89%,1956968363.0,-2182823438.0,1.9962
2026/3/25,4874,106.0,560,5.0,59.0,88.83%,2192853021.0,1744969546.0,2.2099
