日期,上涨,涨停,下跌,跌停,平盘,活跃度,情绪值,成交额,融资净买入,全市场换手率
2026/06/09,3322,144,2049,19,144,60.34,60.34,2666732928.5,-24533268697.0,2.5857
2026/06/08,899,63,4591,56,25,16.44,16.44,2823428977.056,-15241982335.0,2.7858
2026/06/05,3277,87,2113,18,124,59.36,59.36,3100690304.725,5357742867.0,2.9904
2026/06/04,1344,92,4121,36,46,24.69,24.69,2779163742.118,7286698347.0,2.6562
2026/06/03,1713,82,3727,30,71,31.25,31.25,3153124584.033,141428736.0,2.9945
2026/06/02,1543,98,3876,18,88,28.47,28.47,2812849119.643,-8860807257.0,2.6789
2026/06/01,3776,169,1682,25,50,68.42,68.42,2896724496.515,-30684579232.0,2.7755
2026/05/29,1541,71,3884,64,80,27.81,27.81,3339965078.828,4373358091.0,3.1849
2026/05/28,3018,126,2365,13,123,55.07,55.07,2987326312.007,2885292965.0,2.8148
2026/05/27,974,62,4489,35,43,17.92,17.92,3259904342.636,6135580366.0,3.0838
2026/05/26,1354,68,4082,37,68,24.73,24.73,3264359080.086,24096456754.0,3.0487
2026/05/25,2181,129,3225,27,98,39.94,39.94,3226952453.297,1716220141.0,3.0044
2026/05/22,3869,138,1509,20,126,70.16,70.16,2924659105.588,-9395615822.0,2.7505
2026/05/21,695,37,4773,69,33,12.61,12.61,3507279541.527,5543656833.0,
2026/05/20,1638,71,3804,41,56,29.8,29.8,2976458677.756,4006503546.0,2.7773
2026/05/19,3608,123,1774,26,112,65.44,65.44,2908976620.151,14218197543.0,
2026/05/18,2375,101,3003,55,121,42.86,42.86,2917073666.062,-7041560127.0,
2026/05/15,1816,73,3584,45,95,32.95,32.95,3134384000.0,7995515163.0,3.1584
2026/05/14,1047,81,4387,48,59,19.32,19.32,3388086341.0,,3.1434
2026/05/13,3215,146,2134,17,144,58.71,58.71,3264212322.0,21939951590.0,2.9745
2026/05/12,1379,94,4048,34,63,25.44,25.44,3269736243.0,15880725587.0,3.0094
2026/05/11,3121,135,2239,30,131,56.75,56.75,3565452832.0,28937700528.0,3.2688
2026/05/08,3637,126,1728,32,126,65.86,65.86,3075719586.0,14916375170.0,2.8565
2026/05/07,3520,127,1832,55,141,63.24,63.24,3168269724.0,28735815496.0,2.9433
2026/05/06,3889,125,1482,63,119,69.59,69.59,3246596328.0,40259316658.0,3.0407
2026/04/30,2878,98,2461,55,121,52.09,52.09,2759205598.0,-17742099281.0,2.6298
2026/04/29,3973,121,1403,42,86,71.94,71.94,2608873893.0,-930123674.0,2.4868
2026/04/28,1698,76,3682,54,108,30.81,30.81,2550473217.0,-930123674.0,2.4553
2026/04/27,3284,85,2105,55,106,58.9,58.9,2604807456.0,14450439247.0,2.494
2026/04/24,2036,69,3352,40,108,36.9,36.9,2657622713.0,-12346003838.0,2.5519
2026/04/23,1330,59,4078,34,86,24.31,24.31,2823315533.0,2713042311.0,2.7002
2026/04/21,1949,65,3432,19,117,35.58,35.58,2426646682.0,-1832683182.0,2.3227
